Company Name,Name,Address,Phone Number,Email Address,Products Available
Hanuman Enterprises,"N.Ch. Anil Kumar, K.V.L. Koteshwara Rao","27/37/5B, Opp Old Bus Stand, Gopala Reddy Road, Vijayawada, Andhra Pradesh - 520002",,hanumanenterpriseshyd@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Heat Crafts Engineer's,S.Vidya Sagar,"21/660, Govt. Hospital Road, Kadapa, Andhra Pradesh - 516001",9848153254,sripathi.vidyasagar@yahoo.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Hi-Tech York Systems,K Sambasiva Rao,"6-1-89/A, Bapuji Nagar, - 20, Musheerabad, Secunderabad, Andhra Pradesh -",,htysindia@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Himani Cool Home,,"16, Model House,, Punjagutta, Hyderabad, Andhra Pradesh -",9394222399,himanicoolhome@yahoo.in,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Himani RAC Technologies Pvt. Ltd.,P Suman Krishna,"Door no.36-6-11, Near Sai Krishna Theatre, Stadium Road,, Mangalavarapupet, Rajahmundry, Andhra Pradesh - 533101",9246152798,himanirac@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Ikon Airconditioning Services,Anthony Domnic,"Plot no.309, B-41, Rain Tree, Apartments, North Phase, Malisiyan TS,, KPHB Colony, Hyderabad, Andhra Pradesh - 72",9849021033,ikonac@yahoo.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
JLM Aircon,Mr. N. Murali Krishna,"3-1-168, UNDI Road, Bhimavaram (W), Godavari, Andhra Pradesh - 534202",9849025488,jlm_aircon@yahoo.co.in,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Jyothi Digital World,Y Krishna kanth,"No.12 N C Buildings,, Subedarpet, Nellore, Andhra Pradesh - 524001",9533562699,jyothidigitalworld@hotmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
K M Cooling Systems,Sheikh Usman,"D.No. 33-21-33, Eluru Road, Seetharamapuram, Vijayawada, Andhra Pradesh - 520002",9704786789,kmcoolingsystems@gmail.com,"Split AC, Cassette AC, Floor Standing, VRV, Ductable AC, Packaged AC"
Kalyani Enterprises,Mr.U Srinivas,"26-1-17, Temple Street, Kakinada, Andhra Pradesh - 533001",9246439988,"sriuppala@hotmail.com, kalyani_daikin@yahoo.co.in","Split AC, Cassette AC, Floor Standing, VRV, Ductable AC, Packaged AC"
Kim Cools,Shaik Muneer,"H-No:1-2-49/3/1, 2ndFloor, Beside Vijaya Bank, Nizampet Road,, Kukatpally, Hyderabad, Andhra Pradesh -",9246439988,kimcools4@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
M/s Kim Cools,,"Shop No:1, H-No:2-1/8/2, Ground Floor, Opp: Janapriya Apartments, Near Talkie Town Theater, Miyapur, Hyderabad, Andhra Pradesh - 500049",7093038555,,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
M/S Sai Agencies,,"Jyothi Acropolis, Municipal No. 1-7-43/220, 221, 236, 237 Besides radhika Theatre, ECIL Post, Dr. AS Rao Nagar, Hyderabad, Andhra Pradesh - 500062",7093038555,,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
M/s. Damayanti Engineering Systems,"Mr S. Maheshwara Rao, Mrs. Harika","Reliancedigital Retail Ltd., Amsri Faust, 9-1-165/166/166-A, Beside Hotel Basera, S.D. Road, Secunderabad, Hyderabad, Andhra Pradesh - 500003",9000424387,de.systems@yahoo.com,"Split AC, Cassette AC, Floor Standing, VRV, Ductable AC, Packaged AC"
Mitas Cooling Solutions Pvt. Ltd.,Syed Yameen Hashmi,"Reliance Digital Vizag Store, First Flr CMR Mall D.No.52-1-353638, New Resapuvani Palem VIZAG, Maddilapalem, Visakhapatnam, Andhra Pradesh - 530013",9000424387,mitascooling@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
National Aircon Projects,S Shamuddin,"Maram Satish Central 16-10-27/105/1 To 7 &amp; 106/1, Municipal Colony, Main Road, Malakpet, Hyderabad, Andhra Pradesh - 500036",9848238864,shamuddin@nationalaircon.in,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
National Refrigeration,S Mansoor Ahmed,"RDRL Store, 6-11 and 6-11/1 Vijaya Sai Towers, Opp BJP offfice Vivek Nagar, Kukatpally, Hyderabad, Andhra Pradesh - 500072",9440281043,nationalref.kdp@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
New Comfort Air Solutions Engineers,K C Madanamohan,"RDRL Store, Municipal No.2-2-3 Adikmet, Vidyanagar, Shivam Road, Hyderabad, Andhra Pradesh - 500044",9848059025,madan_mkc@yahoo.co.in,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
O.G. World,"Mrs. Yamuna Reddy, Mr. Raji Reddy","RDRL MPM Store, 3-6-553 to 558 &amp; 558/1, Main Road, Himayatnagar, Hyderabad, Andhra Pradesh - 500029",,ogworlds@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
OM Surya Electronics P Ltd,Sunil Jain,"RDRL Store, Main Rd, Beside Hundai showroom, NH-9, Madinaguda, Hyderabad, Andhra Pradesh - 500032",9849002780,omsepl@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Padma Trading Company,Padma Raju C,"RDRL Coastal Castle Bheemavaram Store, 172/5 Undli Road, West Godavarai, Bhimavaram, Andhra Pradesh - 534201",9849110920,priyavision@yahoo.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Padmalaya Refrigeration Works & Services,"K.Purnachandra Rao, Babaji","RDRL Store, House No.1-10-39 To 44, Gumidelli Commercial Complex, Airport Road, Begumpeth, Hyderabad, Andhra Pradesh - 500016",8885589777,babaji_padmalaya@yahoo.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Panchami Projects,Mr.Pardha Sarathi,"40/1/142/A, GFC, Mallika Apartments, MG Road, Vijayawada, Andhra Pradesh - 520010",8885589777,info@panchamiprojects.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Premier Refrigeration Enterprises,"Ms.Pushpa Gupta, Mr.Alok Gupta","16/1/17, Nethaji Road, Tirupati, Andhra Pradesh - 517501",9848050501,premierac@eth.net,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Rahul Agencies,Ms K V Jaya Lakshmi,"D No.26-1-74, Sri Sai Nilayam, Main Road,, Nagaram Palem, Guntur, Andhra Pradesh - 522004",9618396184,rahul.vasavi@rediffmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Raj Refrigerations,P C Vinod,"D No.26-15-12/105, Siddhartha Apartments,,, Ram Nagar, Vijayawada, Andhra Pradesh - 520003",9866672833,rajrefrigerations.nlr@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Ramakrishna Teletronics,,"11 823/1/A, Near Cross Ward School, Pattabhi Seetha Ramaiah Nagar, Guntur, Andhra Pradesh - 522034",9581444056,ramakrishnacorporate@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Ramcor,K.V S Prakash Rao,"52/1/3-4/2,, Veternary Colony, Vijayawada, Andhra Pradesh - 520008",9848162535,vb@ramcorgroup.in,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Ramgopal Agencies,Kamal Kishore Lunani,"D.NO. 12-1-15/16, Ramayya Street, Opp. Pindala Charvu,, Surya Rao Pet, Kakinada, Andhra Pradesh - 533001",9848162535,kklunani@yahoo.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Rapt Agencies,Suman Nandamuri,"Shop No.4-2-6, 17, 18 R P Road, Secunderabad, Andhra Pradesh",9989856789,suman@rapt.co.in,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Rathan Air Conditioners,Suman Kumar,"20-01-202(G), Korlagunta, Opp. Shridi Sai Baba Temple,, Tirumala By Pass Road, Tirupati, Andhra Pradesh",9885444323,sales@rathanairconditioners.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Reliance Digital Retail Ltd.,Phani Datla,"5/38/1 Kurnool Road Opp Power Office,, Prakasam, Ongole, Andhra Pradesh - 523002",9701300556,phani.datla@ril.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Royal Air Conditioners,Ravathu Gopi Krishna,"Shop No:28, Shutter No: G26, Krishnakanth Plz, Birla Compound, Kurnool, Andhra Pradesh - 518002",8662491155,ravathu@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
S V Engineers,Parthasarathy,"D/no. 46-13-35/1, Dondaparthy, Back side of Bata Show Room,, Vizag, Visakhapatnam, Andhra Pradesh -",8662491155,svengineersvja@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
S.V.Digital,Ms Sudha,"29-13-125, 126, Museum Road, Vijayawada, Andhra Pradesh - 520002",9394446437,svdigit@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Sai Agencies,Mr. K. Siva Rama Krishna,"46-20-84, Mandavari Street,, Dondaparthi Junction, Visakhapatnam, Andhra Pradesh - 16",,saiagenciesgnt@gmail.com,"Split AC, Cassette AC, Floor Standing, VRV, Ductable AC, Packaged AC"
Sai Sindhu Inc,A Lavanya Kumar,"8-3-315/3/1, Maruthi Nagar, Yusufguda, Hyderabad, Andhra Pradesh",0866-661611,saisindhuinc@yahoo.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Sainathan & Co,Mr P Ravindra Babu,"Near Sai Lakshmi Theatre, Rajamundhry, Rajahmundry, Andhra Pradesh",9849048666/9989511115,sainathan1939@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Saravan Bhava HVAC Systems,Guntupalli Satish Kumar,,9246169345,sb.hvacsystems@gmail.com,"Split AC, Cassette AC, Floor Standing, VRV, Ductable AC, Packaged AC"
SES AIRCON PVT. LTD.,"Ch. Sunil Chowdary, M.Jagan Mohan Reddy",,9849013637,ses.aircon@gmail.com,"Split AC, Cassette AC, Floor Standing, VRV, Ductable AC, Packaged AC"
Shah Electronics & Home Appliances P ltd,Neeraj Gulabray Shah,,988580001,nishith@shahonline.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Shree Tech Services,Mohammad Aziz,,9989966786,shreetech.kodad@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Silpa Marketing,Smt. A.Silpa,,9246999505,sudhakar_amilineni@yahoo.co.in,"Split AC, Cassette AC, Floor Standing, VRV, Ductable AC, Packaged AC"
SMR Airconditioning (Sales & Service),S Maheshwar Rao,,9160727272,smr3111@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
SN ECO SYATEMS,Manohar Raju,,8886247000,,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Sneha Electronics,Mr. N Hemanth Kumar,,9440018190,Snehaelectronics.ongole@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Sonovision Enterprises,Mr. Bhaskara Moorty,,0866-2434216,sonovision@rediff.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Sowndarya Marketing,S Gowri Chakradhar Rao,,8916455229,sowndaryamarketing@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Sree Lakshmi Agencies,"Mr S.V.N.Ravichandra,",,,srilakshmiagencies@yahoo.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Sree Raghavendra A/C & Refrigeration,Palakat Sankar Kumar,,,sraghavendraac@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Sreenivasa Air Conditioners,,,9849458071,sreenivasaairconditioners@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Sri Comfort Air Products & Services,Mr. B. Kalyana Raman,,9848634779,bka@sricomforts.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Sri Dhanalakshmi Agencies,Ch.mahendranath,,9849435678,sdltanuku@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Sri Laxmi Narasimha HVAC Systems,Y Naresh Kumar,,9989069430,slnarasimhahvac@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Sri Menitha Aircon,Mr. M.V.R Ramu,,,menithaaircon@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Sri Rama Marketing,Mr. S Mrutyanjaya Rao,,9849984477,"srmho@yahoo.com, sriramamarketing@yahoo.co.in","Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Sri Sai Agencies,D Satya Srinivas Rao,,9866661665,saiagenciesamp@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Sri Sai Weather System,S.Shyam Sundar,,9848051404,shyam-262@yahoo.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Sri Sampath Vinayaka Agencies,Mr. A Pradeep Kumar,,9885079564,deepuannepu@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Sri Satya Sai Refrigeration & Air Conditioner Works,Mr.Dharanidhar Rao Kulakarni,,9885079564,dharanikulakarni@yahoo.co.in,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Sri Vaishanavi Aircon,B Sudheer Kumar,,9866696709,kishorkng@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Srinivasa Enterprises,Mr.T.Gopal,,9848969620,salesadmin@srinivasaengg.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Srinu Refrigeration Works,Mr.G.Srinivasa Rao,,9618279453,lgsring_2006@yahoo.co.in,"Split AC, Cassette AC, Floor Standing, VRV, Ductable AC, Packaged AC"
SRR E City,Mr.SVR Mohan Rao,,9618279453,"srrgroup@rediffmail.com, srrecity@gmail.com","Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Universal Refrigeration & A.C. Works,Mr.M.Madhava Reddy,,9849122570,universalrac@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Vignesh Refac Co,Ms Indu Jain,,9849122570,vigneshrefacco@yahoo.in,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Vijay TV & Video Home,"Javvadi. Gangadhara Rao, Javvadi. Rahul",,9885555559,accounts@vtvh.in,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Vimsons Enterprises,"K.R. Ravindranath, K.R. Ramana",,,vimsonsramana@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
VTS Cooling Systems,M Mohan Rao,,9848899336,vtscoolingsystems@yahoo.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Why Not,Venkata Rayudu Jujjavarapu,,,whynot.tanuku@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
,,,,,
